country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2022,arimax_exo,107.38815049462306,106.2074041609794,108.56889682826673,105.58235480833254,109.19394618091358
Bangladesh,2023,arimax_exo,107.17533872392187,104.75822726922665,109.59245017861709,103.47868575638509,110.87199169145865
Bangladesh,2024,arimax_exo,106.88658036736008,103.168440013913,110.60472072080717,101.20017540469712,112.57298533002304
Bangladesh,2025,arimax_exo,106.540583104969,101.5266019647679,111.5545642451701,98.87236067977061,114.2088055301674
Bangladesh,2026,arimax_exo,106.15293813106612,99.88907643699945,112.4167998251328,96.57318835385479,115.73268790827746
Bangladesh,2027,arimax_exo,105.73656895229821,98.29235376798522,113.18078413661121,94.35162429092641,117.12151361367002
Bangladesh,2028,arimax_exo,105.30212046426557,96.75993279626576,113.84430813226538,92.2379717958918,118.36626913263935
Bangladesh,2029,arimax_exo,104.85829585771074,95.30643957230593,114.41015214311555,90.24999229175921,119.46659942366227
Bangladesh,2030,arimax_exo,104.4121479851265,93.9402839196794,114.88401205057359,88.39681393920105,120.42748203105194
Bangladesh,2031,arimax_exo,103.96933100745149,92.66546649882676,115.27319551607621,86.68156208836777,121.2570999265352
Bhutan,2022,arimax_exo,110.95815429195865,110.91923453223022,110.99707405168708,110.8986316559559,111.0176769279614
Bhutan,2023,arimax_exo,110.91894680310368,110.85607797249062,110.98181563371674,110.82279722390248,111.01509638230488
Bhutan,2024,arimax_exo,110.87206093606916,110.7791728025051,110.96494906963322,110.73000079485328,111.01412107728504
Bhutan,2025,arimax_exo,110.8157174142304,110.69726874200346,110.93416608645735,110.63456580252546,110.99686902593535
Bhutan,2026,arimax_exo,110.75800730587744,110.6165779165671,110.89943669518779,110.54170972031288,110.974304891442
Bhutan,2027,arimax_exo,110.70121902983631,110.5421500328372,110.86028802683542,110.45794399232919,110.94449406734343
Bhutan,2028,arimax_exo,110.65038861565652,110.47855637822595,110.8222208530871,110.38759388635997,110.91318334495308
Bhutan,2029,arimax_exo,110.60797342931923,110.42832526253918,110.78762159609929,110.33322526760331,110.88272159103515
Bhutan,2030,arimax_exo,110.57662670734094,110.39307189104852,110.76018152363335,110.29590384078261,110.85734957389926
Bhutan,2031,arimax_exo,110.55741986916381,110.37264112027589,110.74219861805173,110.27482515923124,110.84001457909638
India,2022,arimax_exo,151.2290253401353,151.05105030703797,151.40700037323265,150.9568360155724,151.5012146646982
India,2023,arimax_exo,151.30697772178107,150.93356105268563,151.6803943908765,150.73588620870336,151.87806923485877
India,2024,arimax_exo,151.39751652856268,150.8099990453386,151.98503401178675,150.49898607659645,152.2960469805289
India,2025,arimax_exo,151.4979737878923,150.6887955126798,152.3071520631048,150.26044240864204,152.73550516714258
India,2026,arimax_exo,151.60598161340675,150.57484855620143,152.63711467061208,150.02899968796055,153.18296353885296
India,2027,arimax_exo,151.71944987144389,150.47097645781813,152.96792328506965,149.810074554718,153.62882518816977
India,2028,arimax_exo,151.8365445838681,150.37869625181966,153.29439291591652,149.6069579620278,154.0661312057084
India,2029,arimax_exo,151.95566715640012,150.2986691492378,153.61266516356244,149.42150738959228,154.48982692320797
India,2030,arimax_exo,152.07543450102878,150.2309772380229,153.91989176403467,149.25458054266417,154.8962884593934
India,2031,arimax_exo,152.19466010289136,150.1753064673574,154.21401373842534,149.10632522499304,155.28299498078968
Nepal,2022,arimax_exo,136.69291319854707,136.51466508191547,136.87116131517868,136.4203062287592,136.96552016833496
Nepal,2023,arimax_exo,136.85773119709415,136.4591562914446,137.2563061027437,136.24816348150821,137.4672989126801
Nepal,2024,arimax_exo,137.02254919564123,136.35560581336807,137.6894925779144,136.00254731344836,138.0425510778341
Nepal,2025,arimax_exo,137.1873671941883,136.21106205106895,138.16367233730767,135.6942373273288,138.68049706104782
Nepal,2026,arimax_exo,137.3521851927354,136.0302617798445,138.6741086056263,135.3304777958228,139.373892589648
Nepal,2027,arimax_exo,137.51700319128247,135.81662453094626,139.21738185161868,134.91649844068104,140.1175079418839
Nepal,2028,arimax_exo,137.68182118982955,135.57276103147,139.7908813481891,134.45629202444132,140.90735035521777
Nepal,2029,arimax_exo,137.84663918837663,135.30074685348242,140.39253152327083,133.95303286065248,141.74024551610077
Nepal,2030,arimax_exo,138.0114571869237,135.00228263921585,141.02063173463156,133.40932185716375,142.61359251668367
Nepal,2031,arimax_exo,138.17627518547079,134.67879458268771,141.67375578825386,132.8273401895003,143.52521018144128
Pakistan,2022,arimax_exo,183.35732053175477,183.2480454177952,183.46659564571434,183.19019866672372,183.52444239678582
Pakistan,2023,arimax_exo,183.2848755669447,183.04689873005,183.52285240383938,182.92092140231443,183.64882973157495
Pakistan,2024,arimax_exo,183.2294274942499,182.84163795971375,183.61721702878606,182.63635458036413,183.82250040813568
Pakistan,2025,arimax_exo,183.19031125168829,182.6378696826728,183.74275282070377,182.3454247813003,184.03519772207628
Pakistan,2026,arimax_exo,183.16680053797086,182.43943739832486,183.89416367761686,182.05439461087707,184.27920646506465
Pakistan,2027,arimax_exo,183.15811591483825,182.24910941769966,184.06712241197684,181.7679104451524,184.5483213845241
Pakistan,2028,arimax_exo,183.163432756912,182.06893561353658,184.2579299002874,181.48954382425234,184.83732168957164
Pakistan,2029,arimax_exo,183.1818890091083,181.90044411456674,184.46333390364984,181.2220881637893,185.14168985442728
Pakistan,2030,arimax_exo,183.21259271521419,181.74476031043093,184.68042511999744,180.9677367717911,185.45744865863728
Pakistan,2031,arimax_exo,183.2546292847914,181.6026848021935,184.90657376738932,180.72819821685724,185.78106035272558
