country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2017,arimax_full,108.88842402073514,108.68934818842514,109.08749985304514,108.58396380859055,109.19288423287973
Bangladesh,2018,arimax_full,107.94701981438672,107.68715343151337,108.20688619726008,107.54958847809239,108.34445115068105
Bangladesh,2019,arimax_full,106.26588759340895,105.97064028807921,106.56113489873869,105.81434580567536,106.71742938114254
Bangladesh,2020,arimax_full,103.40602005095631,103.08821926637887,103.72382083553376,102.91998569324738,103.89205440866525
Bangladesh,2021,arimax_full,105.18076066726063,104.84799836404932,105.51352297047194,104.67184464137321,105.68967669314804
Bhutan,2017,arimax_full,110.39275749555827,110.33392779547485,110.4515871956417,110.30278523343098,110.48272975768556
Bhutan,2018,arimax_full,110.80745788541141,110.74862818532799,110.86628758549483,110.71748562328412,110.8974301475387
Bhutan,2019,arimax_full,110.93354733579751,110.87471763571409,110.99237703588093,110.84357507367022,111.0235195979248
Bhutan,2020,arimax_full,110.99828180243811,110.93945210235469,111.05711150252154,110.90830954031082,111.0882540645654
Bhutan,2021,arimax_full,111.10008935687259,111.04125965678917,111.15891905695601,111.0101170947453,111.19006161899988
India,2017,arimax_full,152.83441049790008,152.722990215858,152.94583077994216,152.66400788139907,153.0048131144011
India,2018,arimax_full,153.51678684894193,153.2759405905328,153.75763310735107,153.1484442828022,153.88512941508168
India,2019,arimax_full,153.292257724074,152.90295541441088,153.68156003373713,152.69687122028262,153.8876442278654
India,2020,arimax_full,151.4112645919435,150.8615487536074,151.96098043027962,150.57054676689665,152.25198241699036
India,2021,arimax_full,151.25593665215249,150.53907747926695,151.97279582503802,150.15959515593985,152.35227814836512
Nepal,2017,arimax_full,136.20126251783194,136.12525994302294,136.27726509264093,136.08502661023144,136.31749842543243
Nepal,2018,arimax_full,136.66247797553183,136.44821442566604,136.87674152539762,136.33479015381067,136.99016579725298
Nepal,2019,arimax_full,136.31404024320486,135.93445855256462,136.6936219338451,135.73352014331365,136.89456034309606
Nepal,2020,arimax_full,135.67217040935742,135.11052698974004,136.2338138289748,134.81321092290383,136.531129895811
Nepal,2021,arimax_full,136.8400364606116,136.08710745266234,137.59296546856086,135.68853091204718,137.99154200917602
Pakistan,2017,arimax_full,186.482948266871,186.38824464042634,186.57765189331568,186.338111568897,186.627784964845
Pakistan,2018,arimax_full,185.20083830453248,185.06087902153874,185.34079758752623,184.98678905255937,185.4148875565056
Pakistan,2019,arimax_full,184.57172209169465,184.36129503380374,184.78214914958556,184.2499016781215,184.89354250526782
Pakistan,2020,arimax_full,184.11440051296336,183.8525496048189,184.3762514211078,183.713934107178,184.5148669187487
Pakistan,2021,arimax_full,183.14272890047098,182.82807297571046,183.45738482523151,182.66150419080378,183.6239536101382
