country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2022,arimax_exo,107.38815049462306,106.2074041609794,108.56889682826673,105.58235480833254,109.19394618091358
Bangladesh,2023,arimax_exo,107.17533872392187,104.75822726922665,109.59245017861709,103.47868575638509,110.87199169145865
Bangladesh,2024,arimax_exo,106.88658036736008,103.168440013913,110.60472072080717,101.20017540469712,112.57298533002304
Bangladesh,2025,arimax_exo,106.540583104969,101.5266019647679,111.5545642451701,98.87236067977061,114.2088055301674
Bangladesh,2026,arimax_exo,106.15293813106612,99.88907643699945,112.4167998251328,96.57318835385479,115.73268790827746
Bangladesh,2027,arimax_exo,105.73656895229821,98.29235376798522,113.18078413661121,94.35162429092641,117.12151361367002
Bangladesh,2028,arimax_exo,105.30212046426557,96.75993279626576,113.84430813226538,92.2379717958918,118.36626913263935
Bangladesh,2029,arimax_exo,104.85829585771074,95.30643957230593,114.41015214311555,90.24999229175921,119.46659942366227
Bangladesh,2030,arimax_exo,104.4121479851265,93.9402839196794,114.88401205057359,88.39681393920105,120.42748203105194
Bangladesh,2031,arimax_exo,103.96933100745149,92.66546649882676,115.27319551607621,86.68156208836777,121.2570999265352
Bangladesh,2032,arimax_exo,103.53431742568446,91.4828536770328,115.58578117433613,85.10319413466829,121.96544071670064
Bangladesh,2033,arimax_exo,103.11058497258813,90.3910994281937,115.83007051698256,83.65781050830279,122.56335943687347
Bangladesh,2034,arimax_exo,102.70077728527176,89.3873229020883,116.01423166845521,82.33960587211229,123.06194869843122
Bangladesh,2035,arimax_exo,102.30684179156218,88.4676113496618,116.14607223346256,81.14156528679004,123.47211829633432
Bangladesh,2036,arimax_exo,101.93014781392212,87.62739517402915,116.23290045381509,80.05597528145543,123.8043203463888
Bangladesh,2037,arimax_exo,101.57158751736952,86.86172765641453,116.28144737832451,79.07479821896047,124.06837681577858
Bangladesh,2038,arimax_exo,101.23166199629367,86.16549267999376,116.29783131259357,78.18994441048453,124.2733795821028
Bangladesh,2039,arimax_exo,100.91055450386149,85.53355756077197,116.28755144695101,77.39346708488546,124.42764192283752
Bangladesh,2040,arimax_exo,100.60819257208482,84.96088377607386,116.25550136809578,76.67769884893471,124.53868629523492
Bangladesh,2041,arimax_exo,100.32430054635539,84.44260529924279,116.20599579346799,76.03534367979822,124.61325741291256
Bangladesh,2042,arimax_exo,100.05844386161691,83.97408199968973,116.14280572354409,75.45953515497405,124.65735256825977
Bangladesh,2043,arimax_exo,99.81006621503218,83.5509338939092,116.06919853615516,74.94386915667971,124.67626327338465
Bangladesh,2044,arimax_exo,99.57852063910313,83.16906076747254,115.98798051073372,74.48241743198494,124.67462384622132
Bangladesh,2045,arimax_exo,99.36309534713872,82.82465071732969,115.90153997694776,74.06972697537074,124.65646371890671
Bangladesh,2046,arimax_exo,99.16303510746654,82.51418041020955,115.81188980472353,73.70080910909442,124.62526110583866
Bhutan,2022,arimax_exo,110.95815429195865,110.91923453223022,110.99707405168708,110.8986316559559,111.0176769279614
Bhutan,2023,arimax_exo,110.91894680310368,110.85607797249062,110.98181563371674,110.82279722390248,111.01509638230488
Bhutan,2024,arimax_exo,110.87206093606916,110.7791728025051,110.96494906963322,110.73000079485328,111.01412107728504
Bhutan,2025,arimax_exo,110.8157174142304,110.69726874200346,110.93416608645735,110.63456580252546,110.99686902593535
Bhutan,2026,arimax_exo,110.75800730587744,110.6165779165671,110.89943669518779,110.54170972031288,110.974304891442
Bhutan,2027,arimax_exo,110.70121902983631,110.5421500328372,110.86028802683542,110.45794399232919,110.94449406734343
