country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2022,arimax_full,107.57559656372831,107.20326129800702,107.9479318294496,107.00615891439129,108.14503421306533
Bangladesh,2023,arimax_full,107.62704766947346,106.87070476283148,108.38339057611543,106.47032101341367,108.78377432553324
Bangladesh,2024,arimax_full,107.7323151270321,106.59790636754937,108.86672388651482,105.9973866449401,109.4672436091241
Bangladesh,2025,arimax_full,107.87366460745869,106.40573901551853,109.34159019939885,105.62866614657761,110.11866306833977
Bangladesh,2026,arimax_full,108.0327582976532,106.29832145965673,109.76719513564967,105.38016605920666,110.68535053609975
Bangladesh,2027,arimax_full,108.19236543510756,106.2668157301116,110.11791514010352,105.2474912890329,111.13723958118223
Bangladesh,2028,arimax_full,108.33772325862728,106.29284629471631,110.38260022253824,105.21035381846127,111.46509269879328
Bangladesh,2029,arimax_full,108.4574811568264,106.35202034498295,110.56294196866986,105.23745671690463,111.67750559674818
Bangladesh,2030,arimax_full,108.54420666379026,106.41780712029654,110.67060620728398,105.29215919723433,111.7962541303462
Bhutan,2022,arimax_full,111.05256658235187,111.01189533583214,111.09323782887161,110.99036527845728,111.11476788624647
Bhutan,2023,arimax_full,111.02067959669544,110.9368666235405,111.1044925698504,110.89249871561547,111.14886047777541
Bhutan,2024,arimax_full,110.97244806047976,110.84425175470159,111.10064436625794,110.77638872971882,111.16850739124071
Bhutan,2025,arimax_full,110.91197339494877,110.74197672512662,111.08197006477093,110.65198592405713,111.17196086584042
Bhutan,2026,arimax_full,110.84341189021538,110.63670895409808,111.05011482633267,110.5272870293976,111.15953675103316
Bhutan,2027,arimax_full,110.77073428784827,110.53386052815443,111.0076080475421,110.40846713421625,111.13300144148029
Bhutan,2028,arimax_full,110.69752817001817,110.43755392123128,110.95750241880506,110.29993186704488,111.09512447299147
Bhutan,2029,arimax_full,110.6268491817929,110.3506187208966,110.9030796426892,110.20439114783967,111.04930721574614
Bhutan,2030,arimax_full,110.56112334826388,110.27464954527699,110.84759715125077,110.1229994744657,110.99924722206205
India,2022,arimax_full,150.61409480901622,150.49443208053995,150.7337575374925,150.4310864585051,150.79710315952735
India,2023,arimax_full,150.1466494071392,149.87560018522024,150.41769862905815,149.73211539439896,150.56118341987943
India,2024,arimax_full,149.75046222786256,149.3003552476332,150.2005692080919,149.06208300524054,150.43884145048457
India,2025,arimax_full,149.41341364263255,148.76454078713118,150.06228649813391,148.42104824624846,150.40577903901664
India,2026,arimax_full,149.12563457717496,148.2635155406275,149.98775361372242,147.80713729041045,150.44413186393948
India,2027,arimax_full,148.87910857397455,147.79301982495267,149.96519732299643,147.21807917076637,150.54013797718272
India,2028,arimax_full,148.6673121174098,147.3493847189453,149.98523951587433,146.6517160971815,150.68290813763812
India,2029,arimax_full,148.4849224138739,146.92953360267614,150.04031122507166,146.10616050224633,150.86368432550148
India,2030,arimax_full,148.32758288733586,146.53091861954314,150.1242471551286,145.5798220075875,151.07534376708423
Nepal,2022,arimax_full,136.64901967056895,136.51439992051345,136.78363942062444,136.4431365295309,136.854902811607
Nepal,2023,arimax_full,136.58282704941945,136.2987376737626,136.8669164250763,136.14834984253366,137.01730425630524
Nepal,2024,arimax_full,136.43218907109193,135.9899067530693,136.87447138911455,135.7557766366419,137.10860150554194
Nepal,2025,arimax_full,136.21827638766283,135.6246588598734,136.81189391545226,135.3104167225977,137.12613605272796
Nepal,2026,arimax_full,135.96510870245783,135.23867271756257,136.6915446873531,134.85412073619247,137.07609666872318
Nepal,2027,arimax_full,135.69762316550012,134.86456082470534,136.5306855062949,134.42356426008217,136.97168207091806
Nepal,2028,arimax_full,135.4397813598669,134.52980996765652,136.3497527520773,134.04810021051242,136.8314625092214
Nepal,2029,arimax_full,135.21286046444527,134.25503033802107,136.17069059086947,133.74798569734912,136.67773523154142
Nepal,2030,arimax_full,135.03405027301778,134.05279183522072,136.01530871081485,133.53334499566827,136.5347555503673
Pakistan,2022,arimax_full,182.81550661801504,182.71828004194754,182.91273319408253,182.6668114015635,182.96420183446656
Pakistan,2023,arimax_full,182.2020016254834,182.03877477246326,182.36522847850355,181.95236769593228,182.45163555503453
Pakistan,2024,arimax_full,181.6663298480435,181.41763613876273,181.91502355732425,181.28598564147634,182.04667405461063
Pakistan,2025,arimax_full,181.1926366270364,180.86228472353923,181.52298853053355,180.68740698939516,181.69786626467763
Pakistan,2026,arimax_full,180.76657108956624,180.35440922266312,181.17873295646936,180.13622390990545,181.39691826922703
Pakistan,2027,arimax_full,180.37902392712422,179.89184264995922,180.86620520428923,179.6339444602829,181.12410339396556
Pakistan,2028,arimax_full,180.02297657888093,179.46814682891647,180.57780632884538,179.17443770091577,180.87151545684608
Pakistan,2029,arimax_full,179.69427229672942,179.08164390158535,180.3069006918735,178.75733801903712,180.63120657442173
Pakistan,2030,arimax_full,179.39033351078126,178.73022818877936,180.05043883278316,178.38078953930858,180.39987748225394
